# schema: 1
# generated_at: 2026-08-14 09:57:46 +08:00
# system_version: 0.5
# visual_spec_version: 1
# source_registry_version: 1
# 本檔是可重建的檢索索引，不是規則權威來源。命中後讀source_path；未命中時定向搜尋來源後才能判定NEW_GAP。
rule_uid	origin	source_rule_id	source_path	section_anchor	scope_tags	trigger_tags	validator_ids	regression_ids	status
IMG-QA-08	system	IMG-QA-08	02_通用品質規則.md	QA：驗證與宣稱	qa;independence	shared-coordinate;shared-mask;shared-formula			active
IMG-QA-09	system	IMG-QA-09	02_通用品質規則.md	QA：驗證與宣稱	qa;risk	wrong-scope;under-check			active
IMG-QA-10	system	IMG-QA-10	02_通用品質規則.md	QA：驗證與宣稱	qa;regression	defect-fix;repeat-defect			active
IMG-SYSTEM-01	system	IMG-SYSTEM-01	02_通用品質規則.md	SYSTEM：系統、規格與成果分界	system;separation	system-artifact-mix			active
IMG-SYSTEM-02	system	IMG-SYSTEM-02	02_通用品質規則.md	SYSTEM：系統、規格與成果分界	system;upgrade	artifact-move;artifact-revalidation			active
IMG-SYSTEM-03	system	IMG-SYSTEM-03	02_通用品質規則.md	SYSTEM：系統、規格與成果分界	system;scope	project-rule-leak			active
IMG-SYSTEM-04	system	IMG-SYSTEM-04	02_通用品質規則.md	SYSTEM：系統、規格與成果分界	system;migration	import-residue;duplicate-entry			active
IMG-SYSTEM-05	system	IMG-SYSTEM-05	02_通用品質規則.md	SYSTEM：系統、規格與成果分界	system;authority	stale-mirror;derived-state			active
IMG-RULE-01	system	IMG-RULE-01	02_通用品質規則.md	RULE：規則與授權	rule;status	ambiguous-status			active
IMG-RULE-02	system	IMG-RULE-02	02_通用品質規則.md	RULE：規則與授權	rule;change	replacement;impact			active
IMG-RULE-03	system	IMG-RULE-03	02_通用品質規則.md	RULE：規則與授權	rule;conflict	conflict;authority			active
IMG-RULE-04	system	IMG-RULE-04	02_通用品質規則.md	RULE：規則與授權	rule;authorization	suggestion;exception;inference			active
IMG-RULE-05	system	IMG-RULE-05	02_通用品質規則.md	RULE：規則與授權	rule;stability	accidental-upgrade;accidental-downgrade			active
IMG-RULE-06	system	IMG-RULE-06	02_通用品質規則.md	RULE：規則與授權	rule;triage	defect;spec-change;question			active
IMG-RULE-07	system	IMG-RULE-07	02_通用品質規則.md	RULE：規則與授權	rule;index	no-hit;new-gap			active
IMG-RULE-08	system	IMG-RULE-08	02_通用品質規則.md	RULE：規則與授權	component;functionality	decorative-only;accessibility;hierarchy			active
SBIMG-RULE-001	work	SBIMG-RULE-001	11_本工作視覺規格.md	已確認強制規則	purpose;learner;reproduction	wrong-purpose;decorative-only	VAL-SB-003	REG-SB-04	active
SBIMG-RULE-002	work	SBIMG-RULE-002	11_本工作視覺規格.md	已確認強制規則	source;immutability	overwrite;delete;destructive	VAL-SB-002	REG-SB-01	active
SBIMG-RULE-003	work	SBIMG-RULE-003	11_本工作視覺規格.md	已確認強制規則	selection;teaching-value	duplicate;image-quota	VAL-SB-003	REG-SB-04	active
SBIMG-RULE-004	work	SBIMG-RULE-004	11_本工作視覺規格.md	已確認強制規則	missing-image;capture	missing-evidence;unnecessary-capture	VAL-SB-005	REG-SB-07	active
SBIMG-RULE-005	work	SBIMG-RULE-005	11_本工作視覺規格.md	已確認強制規則	safety;reproduction	code-modification;database-write;deployment	VAL-SB-005	REG-SB-07	active
SBIMG-RULE-006	work	SBIMG-RULE-006	11_本工作視覺規格.md	已確認強制規則	traceability;derived-image	unknown-source;missing-index	VAL-SB-002	REG-SB-01	active
SBIMG-RULE-007	work	SBIMG-RULE-007	11_本工作視覺規格.md	已確認強制規則	crop;visibility	lost-context;occlusion	VAL-SB-002;VAL-SB-003	REG-SB-02	active
SBIMG-RULE-008	work	SBIMG-RULE-008	11_本工作視覺規格.md	已確認強制規則	annotation;minimalism	crossing;occlusion;noise	VAL-SB-003	REG-SB-03	active
SBIMG-RULE-009	work	SBIMG-RULE-009	11_本工作視覺規格.md	已確認強制規則	caption;alt-text	missing-caption;empty-alt	VAL-SB-001;VAL-SB-003	REG-SB-05	active
SBIMG-RULE-010	work	SBIMG-RULE-010	11_本工作視覺規格.md	已確認強制規則	scope;javaweb	jsp-style-leak;wrong-legend	VAL-SB-003	REG-SB-08	active
SBIMG-RULE-011	work	SBIMG-RULE-011	11_本工作視覺規格.md	已確認強制規則	output;separation	qa-leak;candidate-leak	VAL-SB-001		active
SBIMG-RULE-012	work	SBIMG-RULE-012	11_本工作視覺規格.md	已確認強制規則	batch;template	unconfirmed-batch;scope-expansion	VAL-SB-003		active
